# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Jul 13 15:40:13 2023
# COLUMN name:        Planet Name
# COLUMN pl_eqt:         Equilibrium Temperature [K]
name	temp
Kepler-1282 b	1418
Kepler-1283 b	764
Kepler-1284 b	1703
Kepler-1285 b	874
Kepler-1286 b	888
Kepler-1287 b	796
Kepler-1288 b	2017
Kepler-1289 b	1113
Kepler-129 b	910
Kepler-129 c	525
Kepler-1290 b	1098
Kepler-1291 b	739
Kepler-1292 b	1195
Kepler-1293 b	1183
Kepler-1294 b	401
Kepler-1295 b	1029
Kepler-1296 b	1285
Kepler-1297 b	1790
Kepler-1298 b	1373
Kepler-1299 b	588
Kepler-130 b	982
Kepler-130 c	683
Kepler-130 d	451
Kepler-1300 b	954
Kepler-1301 b	734
Kepler-1302 b	778
Kepler-1303 b	891
Kepler-1304 b	715
Kepler-1305 b	733
Kepler-1306 b	678
Kepler-1307 b	768
Kepler-1308 b	662
Kepler-1309 b	491
Kepler-131 b	718
Kepler-131 c	615
Kepler-1310 b	1883
Kepler-1311 b	1019
Kepler-1311 c	1671
